"Index" "VZ" "MRK" "CSCO" "PG" "JPM" "KO" "MSFT" "TRV" "NKE" "WBA" "MCD" "WMT" "HD" "BA" "AXP" "UTX" "PFE" "IBM" "CVX" "JNJ" "UNH" "MMM" "DIS" "INTC" "AAPL" "XOM" "CAT"
"1991-01-28" 3.724674 4.880845 0.152369 2.545129 1.061723 1.624578 0.925859 4.098267 0.036449 1.317792 3.529841 4.974771 1.914432 11.492629 1.759518 0.706764 0.335928 9.96083 2.932946 2.971326 0.66492 5.382749 5.333579 0.696076 0.256096 2.184777 1.466118
"1991-01-29" 3.648856 4.901349 0.150996 2.520498 1.071739 1.61605 0.928369 4.098267 0.036871 1.320714 3.40264 5.013941 1.897588 11.584568 1.792101 0.72618 0.336886 9.98087 2.882981 2.9912 0.695991 5.390929 5.366218 0.703986 0.252572 2.16397 1.496664
"1991-01-30" 3.610943 5.010726 0.157173 2.520498 1.04169 1.662953 0.966005 4.131585 0.037819 1.326558 3.529841 5.111866 1.993029 11.737802 1.900713 0.735889 0.3388 10.18129 2.818027 3.035918 0.714634 5.505452 5.646932 0.707941 0.260795 2.153565 1.519571
"1991-01-31" 3.677288 5.003888 0.160605 2.6026 1.051707 1.662953 0.984823 4.248203 0.040242 1.317792 3.625243 5.170626 1.942502 12.105568 1.976742 0.737831 0.344064 10.161247 2.853001 3.040887 0.683563 5.554535 5.653462 0.723761 0.260795 2.148364 1.519571
"1991-02-01" 3.639375 5.03807 0.159919 2.614915 1.091772 1.611786 1.001132 4.231544 0.038767 1.332402 3.641144 5.24897 1.92566 12.19751 1.96588 0.743655 0.345499 10.171268 2.828019 2.986231 0.714634 5.448189 5.797081 0.743536 0.26197 2.101547 1.508117
"1991-02-04" 3.667807 5.16795 0.158546 2.635439 1.242016 1.645898 0.99486 4.331503 0.040347 1.349933 3.720644 5.307726 1.942502 12.657216 2.009325 0.747538 0.346935 10.616343 2.793045 3.035918 0.733277 5.505452 6.077796 0.743536 0.25962 2.132758 1.531025
"1991-02-05" 3.677288 5.249981 0.159919 2.631334 1.231999 1.701329 1.016187 4.36482 0.040136 1.402528 3.704744 5.366483 1.993029 12.534624 2.161383 0.766955 0.346456 10.710112 2.896604 3.03095 0.730169 5.61998 6.241005 0.759356 0.271368 2.222996 1.553933
"1991-02-06" 3.753108 5.332012 0.161291 2.713435 1.231999 1.756762 1.061351 4.464779 0.042559 1.425904 3.704744 5.542757 2.054786 12.749146 2.128799 0.77278 0.354113 10.824709 3.037773 3.070699 0.730169 5.742686 6.188778 0.790995 0.267256 2.321796 1.523389
"1991-02-07" 3.781539 5.22264 0.156144 2.676489 1.242016 1.688538 1.033751 4.498096 0.042138 1.443435 3.641144 5.640681 2.099699 12.503978 2.096215 0.76113 0.356027 10.710112 3.090057 3.035918 0.683563 5.709964 6.116969 0.779131 0.271368 2.360217 1.481391
"1991-02-08" 3.819449 5.332012 0.161978 2.701121 1.272064 1.72265 1.043787 4.514757 0.041295 1.478498 3.657045 5.581926 2.066015 12.810446 2.128799 0.757246 0.369904 10.793451 3.095288 3.070699 0.680456 5.718146 6.038627 0.765288 0.281353 2.332774 1.4623
